,agent_name,properties
125,Mac Housing,5 properties in Amsterdam
126,Prestige Housing,5 properties in Amsterdam
127,020 Beheer,5 properties in Amsterdam
128,Residential Real Estate,5 properties in Amsterdam
129,PRO makelaars,5 properties in Amsterdam
130,Bianca Combee Housing Service,5 properties in Amsterdam
131,Relocation-Amsterdam,5 properties in Amsterdam
132,Vereniging Hendrick de Keyser,5 properties in Amsterdam
133,IB Makelaars,5 properties in Amsterdam
134,AA real estate solutions,5 properties in Amsterdam
135,VERRA Real Estate Amsterdam,5 properties in Amsterdam
136,Zen Home Rentals,5 properties in Amsterdam
137,Visch & Van Zeggelaar Amsterdam,5 properties in Amsterdam
138,Nanninga & Burger Makelaardij,5 properties in Amsterdam
139,Great Expatation,5 properties in Amsterdam
140,A Plus Apartments,4 properties in Amsterdam
141,Amstel Property Agency,4 properties in Amsterdam
142,NOORESTATE,4 properties in Amsterdam
143,Makelaarskantoor Carla van den Brink,4 properties in Amsterdam
144,marianrudolphus.nl,4 properties in Amsterdam
145,Van Der Huizen,4 properties in Amsterdam
146,Amsterdam Real Estate,4 properties in Amsterdam
147,The Rental Shop,4 properties in Amsterdam
148,Brummel & Beuk Makelaars ,4 properties in Amsterdam
149,020 Rental,4 properties in Amsterdam
150,SPiL makelaars,4 properties in Amsterdam
151,Amsterdam Sotheby's International Realty,4 properties in Amsterdam
152,Peters & Partners,4 properties in Amsterdam
153,Vastgoedzorg de Parel BV,4 properties in Amsterdam
154,AT Real Estate Agent,4 properties in Amsterdam
155,Von Poll Real Estate - Zuidas,4 properties in Amsterdam
156,Clairesrealestate,4 properties in Amsterdam
157,HPS Rentals,3 properties in Amsterdam
158,Rotsvast Amstelveen,3 properties in Amsterdam
159,Covers & Jonker Makelaars BV,3 properties in Amsterdam
160,huishuren.nu,3 properties in Amsterdam
161,Hometoday.nl,3 properties in Amsterdam
162,Hoen Makelaars B.V.,3 properties in Amsterdam
163,Voogd Makelaardij,3 properties in Amsterdam
164,Partner in real estate,3 properties in Amsterdam
165,HousingXL.nl,3 properties in Amsterdam
166,Aemestelle Makelaars,3 properties in Amsterdam
167,Koops Makelaardij Amstelveen,3 properties in Amsterdam
168,Eurostone real estate,3 properties in Amsterdam
169,Makelaarshuis Amsterdam - Zaanstad,3 properties in Amsterdam
170,Adelbrecht Vastgoed Beheer BV,3 properties in Amsterdam
171,Finsens Makelaardij B.V.,3 properties in Amsterdam
172,Rossetti Residence,3 properties in Amsterdam
173,Dokter Makelaardij,3 properties in Amsterdam
174,De la Haye Makelaardij o.g.,3 properties in Amsterdam
175,DL Housing Services,3 properties in Amsterdam
176,Tulip Property,3 properties in Amsterdam
177,King Housing,3 properties in Amsterdam
178,My Amsterdam Apartments,3 properties in Amsterdam
179,City Centre Retreat,3 properties in Amsterdam
180,Bridges Makelaardij,3 properties in Amsterdam
181,Boomsma & Bruinsma Makelaars,3 properties in Amsterdam
182,Camelot Vastgoedbeheer BV,3 properties in Amsterdam
183,Dames van Vermeer,3 properties in Amsterdam
184,Friedmann Housing,3 properties in Amsterdam
185,Huizenbalie BV,3 properties in Amsterdam
186,ADDRESS AMSTERDAM,3 properties in Amsterdam
187,Hoogveste BV,3 properties in Amsterdam
188,RKZ Makelaars,3 properties in Amsterdam
189,Dots Housing,3 properties in Amsterdam
190,Nosa Vastgoed,3 properties in Amsterdam
191,Real Housing,3 properties in Amsterdam
192,Heimstaden,3 properties in Amsterdam
193,Park Real Estate,2 properties in Amsterdam
194,Zeeberg,2 properties in Amsterdam
195,NederWoon verhuurmakelaars Amersfoort,2 properties in Amsterdam
196,Raysemhousing.nl,2 properties in Amsterdam
197,Tweelwonen.nl Leiden,2 properties in Amsterdam
198,B2 Makelaars,2 properties in Amsterdam
199,PB Makelaars o.z.,2 properties in Amsterdam
200,Stienstra,2 properties in Amsterdam
201,Van Roijen Makelaardij o.g. B.V.,2 properties in Amsterdam
202,Walgemoed Vastgoed,2 properties in Amsterdam
203,Regio Holland Amsterdam,2 properties in Amsterdam
204,Spot Relocations,2 properties in Amsterdam
205,Babs Persoons B.V.,2 properties in Amsterdam
206,ME Makelaars BV,2 properties in Amsterdam
207,Nu Woonruimte,2 properties in Amsterdam
208,YP Housing,2 properties in Amsterdam
209,Yamsterdam Apartments,2 properties in Amsterdam
210,Galman & Versteeg Makelaars o.g.,2 properties in Amsterdam
211,Lexis Real Estate,2 properties in Amsterdam
212,Gaikhorst Makelaars & Taxateurs o.g.,2 properties in Amsterdam
213,Ouwehand v/d Meijden Makelaars,2 properties in Amsterdam
214,BenS Makelaars,2 properties in Amsterdam
215,Apollo Makelaardij,2 properties in Amsterdam
216,BBP o.g. Beheer,2 properties in Amsterdam
217,Borgondo Vastgoedmanagement BV,2 properties in Amsterdam
218,Dutch Renting,2 properties in Amsterdam
219,Absolute Housing,2 properties in Amsterdam
220,Expat Apartment Service,2 properties in Amsterdam
221,KNAP Makelaardij ,2 properties in Amsterdam
